Initial Stats:
Initial distribution of soil types: {'desert': 7001, 'steppe': 1199, 'field': 900, 'forest': 900}
Total initial grass: 100000
Tick, Total cows, Average Age, Total Grass
0, 1000, 0, 167020
1, 1000, 1, 189573
2, 1000, 2, 191861
3, 964, 3, 193827
4, 938, 4, 193800
5, 911, 5, 193678
6, 894, 6, 193498
7, 874, 7, 193248
8, 874, 8, 193024
9, 869, 9, 192786
10, 862, 10, 192601
11, 857, 11, 192495
12, 857, 12, 192361
13, 857, 13, 192225
14, 857, 14, 192149
15, 852, 15, 192112
16, 850, 16, 192022
17, 851, 16, 191949
18, 846, 17, 191909
19, 854, 18, 191869
20, 850, 19, 191741
21, 853, 20, 191699
22, 857, 21, 191646
23, 864, 21, 191596
24, 881, 22, 191475
25, 881, 23, 197778
26, 875, 24, 203808
27, 866, 25, 208266
28, 851, 26, 210466
29, 844, 26, 212734
30, 840, 27, 214037
31, 831, 28, 214352
32, 825, 29, 214312
33, 817, 30, 214297
34, 812, 31, 214345
35, 814, 31, 214389
36, 811, 32, 214416
37, 816, 33, 214412
38, 827, 33, 214321
39, 826, 34, 214182
40, 832, 34, 214143
41, 841, 35, 214051
42, 847, 35, 214028
43, 858, 35, 213903
44, 862, 36, 213862
45, 874, 36, 213718
46, 875, 36, 213561
47, 879, 37, 213450
48, 895, 37, 213423
49, 901, 38, 213344
50, 896, 38, 213566
51, 892, 39, 213597
52, 884, 39, 213629
53, 863, 39, 213577
54, 854, 40, 213686
55, 845, 40, 213635
56, 844, 40, 213631
57, 833, 40, 213612
58, 831, 40, 213663
59, 814, 40, 213605
60, 817, 40, 213659
61, 808, 40, 213613
62, 791, 40, 213554
63, 787, 39, 213653
64, 782, 39, 213608
65, 779, 39, 213589
66, 774, 38, 213585
67, 774, 37, 213603
68, 779, 37, 213552
69, 773, 36, 213491
70, 757, 36, 213565
71, 755, 35, 213527
72, 751, 35, 213478
73, 743, 34, 213494
74, 738, 33, 213536
75, 730, 31, 213278
76, 727, 31, 213177
77, 719, 30, 213015
78, 715, 29, 212983
79, 712, 29, 212961
80, 705, 27, 212955
81, 709, 27, 213018
82, 714, 27, 212952
83, 726, 26, 212899
84, 737, 26, 212830
85, 757, 25, 212647
86, 776, 25, 212596
87, 782, 25, 212385
88, 803, 25, 212288
89, 817, 25, 212201
90, 836, 26, 211977
91, 870, 25, 211751
92, 898, 25, 211598
93, 912, 25, 211299
94, 925, 25, 211107
95, 943, 26, 210856
96, 968, 26, 210755
97, 977, 26, 210653
98, 991, 26, 210587
99, 1009, 26, 210333
100, 1040, 26, 207718
101, 1062, 26, 205369
102, 1089, 26, 203228
103, 1119, 26, 201263
104, 1145, 26, 199581
105, 1162, 26, 197965
106, 1201, 26, 196555
107, 1227, 25, 195282
108, 1265, 25, 194139
109, 1289, 25, 193170
110, 1323, 25, 192325
111, 1356, 25, 191561
112, 1401, 25, 190869
113, 1430, 25, 190159
114, 1464, 25, 189619
115, 1507, 25, 189111
116, 1547, 25, 188577
117, 1573, 25, 188266
118, 1603, 25, 187970
119, 1642, 25, 187661
120, 1678, 25, 187460
121, 1712, 25, 187107
122, 1760, 25, 186978
123, 1804, 25, 187000
124, 1833, 25, 186692
125, 1844, 25, 193339
126, 1885, 25, 199041
127, 1933, 25, 203368
128, 1957, 25, 205099
129, 1988, 25, 206984
130, 2050, 25, 206178
131, 2096, 25, 204915
132, 2153, 25, 204387
133, 2196, 25, 204022
134, 2236, 24, 203934
135, 2303, 24, 203522
136, 2362, 24, 203371
137, 2418, 24, 202940
138, 2463, 24, 202331
139, 2514, 24, 202306
140, 2573, 24, 202471
141, 2618, 24, 202062
142, 2681, 24, 201550
143, 2738, 24, 201119
